state,date,critical_staffing_shortage_today_yes,inpatient_beds,inpatient_beds_used,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,staffed_icu_adult_patients_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,deaths_covid
ID,2021/12/10,1,"3,415","2,485",29,0,82,306,3,"2,485","3,415",3
MT,2021/06/22,1,"2,915","1,876",20,0,20,57,0,"1,876","2,915",0
MO,2020/06/02,1,"20,505","11,781",,,,,,"11,765","20,148",6
KY,2020/03/18,1,870,193,,,,,,193,435,0
PA,2021/04/15,1,"33,373","27,410",371,2,580,"2,663",38,"27,410","33,373",24
SD,2020/09/30,1,"2,134","1,590",38,0,43,139,40,"1,343","2,134",1
NE,2021/04/05,1,"4,132","2,425",13,3,50,143,1,"2,425","4,132",0
ME,2020/05/10,1,"3,080","1,549",,,,,,"1,549","3,042",0
KY,2021/01/06,1,"14,820","9,350",424,0,421,"1,725",5,"9,350","14,820",32
WV,2022/01/22,1,"5,713","4,768",119,10,203,"1,087",17,"4,768","5,713",15
FL,2020/05/11,1,"34,074","19,753",,,,,,"19,750","32,951",37
ME,2021/09/05,1,"3,323","2,274",13,0,63,168,1,"2,274","3,323",2
MI,2020/12/11,1,"23,496","18,400",442,5,843,"3,530",17,"18,400","23,496",59
WY,2020/09/20,1,"1,579",571,7,0,5,17,0,571,"1,579",1
UT,2021/09/12,1,"6,268","3,845",61,5,212,532,1,"3,845","6,268",1
WY,2020/12/06,1,"1,654",810,35,0,42,208,1,810,"1,654",1
SD,2021/05/10,1,"2,571","1,313",6,0,19,57,1,"1,313","2,571",0
DC,2021/05/13,1,"3,476","2,706",11,0,31,95,9,"2,706","3,476",0
PR,2021/03/08,1,"9,412","5,534",8,0,13,94,0,"5,534","9,412",58
NJ,2020/08/22,1,"18,390","13,392",30,2,38,154,2,"12,898","18,390",13
CT,2020/08/05,1,"8,114","5,879",20,0,10,67,2,"5,879","8,114",0
WA,2020/04/10,1,"13,248","8,850",,,,,,"8,850","13,175",6
OK,2021/10/27,1,"10,396","7,686",100,0,177,526,23,"7,686","10,396",14
TX,2021/12/04,1,"66,327","50,477",416,24,950,"2,928",76,"50,477","66,327",47
ND,2020/09/26,1,"2,458","1,601",17,1,26,151,3,"1,601","2,458",3
WI,2020/08/10,1,"11,959","7,332",91,2,130,440,0,"7,332","11,834",47
SD,2020/06/24,1,"2,256","1,120",,,,,,"1,120","2,125",1
AK,2020/08/21,1,"1,298",975,4,0,8,33,2,610,"1,298",0
MD,2021/06/10,1,"11,914","9,629",35,0,71,213,4,"9,629","11,914",2
OK,2020/10/25,1,"11,215","7,033",181,2,263,815,14,"7,033","11,215",10
RI,2020/09/21,1,"2,268","2,154",5,0,11,77,4,"2,154","2,268",1
FL,2020/11/19,1,"57,578","44,493",523,9,841,"3,531",23,"44,493","57,578",45
OR,2020/11/27,1,"6,806","4,714",71,1,108,519,8,"4,714","6,806",8
HI,2021/04/11,1,"2,653","1,887",9,0,12,47,0,"1,887","2,653",0
AR,2021/03/23,1,"7,712","5,165",22,1,52,149,0,"5,165","7,712",7
VI,2021/09/27,1,168,90,1,0,1,5,0,90,168,0
NV,2021/09/14,1,"8,504","6,845",141,2,251,"1,042",9,"6,845","8,504",18
IN,2021/05/02,1,"19,101","11,866",97,3,178,700,10,"11,866","19,101",4
NH,2021/04/06,1,"2,958","2,051",18,1,17,92,1,"2,051","2,958",0
GA,2021/09/04,1,"23,362","19,221",729,21,"1,489","5,904",97,"19,221","23,362",96
SC,2022/01/20,1,"11,929","9,633",429,15,436,"2,477",63,"9,633","11,929",17
ID,2022/01/17,1,"3,042","2,169",63,3,82,404,16,"2,169","3,042",2
KY,2021/03/28,1,"14,474","8,018",93,0,82,333,2,"8,018","14,474",15
NH,2021/10/20,1,"3,003","2,419",35,0,52,199,0,"2,419","3,003",2
OR,2020/12/27,1,"6,695","4,425",60,0,97,485,2,"4,425","6,695",4
OH,2021/03/19,1,"32,322","22,867",162,3,240,848,31,"22,867","32,322",18
ME,2021/05/25,1,"3,049","2,166",14,0,46,119,0,"2,166","3,049",0
NJ,2020/07/15,1,"7,335","5,026",20,0,40,163,7,"5,001","7,211",2
AS,2022/01/16,1,150,73,0,0,0,0,0,73,150,
ID,2021/10/30,1,"3,320","2,440",48,2,154,472,6,"2,440","3,320",16
WV,2020/04/11,1,"3,712","1,895",,,,,,"1,895","3,612",2
AL,2020/11/25,1,"15,744","11,806",240,3,433,"1,499",10,"11,806","15,744",19
IA,2020/11/14,1,"8,297","5,332",215,19,247,"1,273",6,"5,332","8,297",15
AR,2022/01/23,1,"9,202","6,437",202,6,371,"1,478",51,"6,437","9,202",5
HI,2021/11/24,1,"2,600","2,395",4,0,9,47,0,"2,395","2,600",0
FL,2021/01/26,1,"54,706","45,299","1,029",35,"1,452","6,798",57,"45,299","54,706",117
FL,2021/09/28,1,"55,821","45,294",657,26,"1,590","5,750",89,"45,294","55,821",115
NM,2020/07/21,1,"1,581","1,479",23,0,66,370,0,962,"1,581",2
GA,2021/06/26,1,"22,562","16,883",87,3,104,363,10,"16,883","22,562",4
NE,2020/11/09,1,"5,293","3,642",114,3,198,816,5,"3,642","5,293",11
VI,2020/07/25,1,168,97,0,0,3,7,1,97,168,0
WI,2020/11/04,1,"13,589","9,542",390,3,391,"1,886",2,"9,542","13,589",28
CA,2020/12/17,1,"68,303","53,498","2,259",25,"3,488","16,154",128,"53,498","68,303",244
AK,2020/07/19,1,"1,590",884,2,0,1,17,0,734,"1,590",0
MD,2021/09/14,1,"10,323","8,672",104,4,212,797,12,"8,672","10,323",9
OK,2021/08/09,1,"9,660","6,617",257,3,346,"1,233",51,"6,617","9,660",20
NE,2021/11/27,1,"4,495","3,215",55,3,165,503,10,"3,215","4,495",5
HI,2021/08/06,1,"2,649","1,890",43,0,36,184,1,"1,890","2,649",2
VT,2021/12/06,1,"1,240",884,11,0,25,81,1,884,"1,240",0
SD,2020/04/13,1,561,71,,,,,,71,406,0
MD,2020/05/28,1,"8,633","7,220",,,,,,"7,220","8,532",4
PA,2020/03/20,1,441,23,,,,,,23,71,0
SD,2021/08/31,1,"2,639","1,619",31,1,77,197,2,"1,619","2,639",1
CT,2021/05/28,1,"8,149","6,369",15,1,20,93,5,"6,369","8,149",2
NJ,2021/02/05,1,"24,350","17,559",356,2,521,"2,804",6,"17,559","24,350",39
NH,2020/05/05,1,"1,550","1,243",,,,,,880,"1,550",1
AR,2021/05/05,1,"9,427","6,863",38,0,48,135,2,"6,863","9,427",3
ND,2021/08/18,1,"2,404","1,809",14,0,15,88,1,"1,809","2,404",0
MS,2021/10/04,1,"8,172","5,036",40,2,184,494,12,"5,036","8,172",6
IA,2020/08/11,1,"8,336","5,040",64,0,74,255,3,"5,040","8,336",2
CO,2020/10/07,1,"11,097","7,665",44,3,92,262,5,"7,665","11,097",1
ND,2020/07/20,1,"2,570","1,506",,,,,,"1,506","2,570",0
VA,2021/06/21,1,"17,137","11,795",17,3,50,185,11,"11,795","17,137",3
NJ,2021/08/11,1,"24,578","17,527",115,3,118,682,3,"17,527","24,578",7
SD,2020/11/30,1,"2,601","1,553",50,2,110,516,4,"1,553","2,601",6
ME,2021/06/29,1,"3,050","2,182",7,0,17,34,1,"2,182","3,050",0
VA,2020/04/25,1,"7,384","4,721",,,,,,"3,163","6,730",17
VT,2021/12/25,1,"1,225",763,8,0,15,57,0,763,"1,225",1
MD,2021/01/25,1,"10,661","8,311",157,3,352,"1,545",13,"8,311","10,661",30
MN,2021/01/07,1,"10,253","7,632",89,3,135,769,15,"7,632","10,253",7
WY,2021/08/07,1,"1,755",792,24,1,17,81,2,792,"1,755",2
PR,2020/12/10,1,"9,546","5,449",32,2,96,555,11,"5,449","9,546",57
ME,2022/01/26,1,"3,194","2,417",41,0,97,438,18,"2,417","3,194",1
OR,2020/07/02,1,"6,202","3,772",,,,,,"3,772","6,044",6
OH,2020/10/04,1,"30,407","20,029",123,3,216,719,10,"20,029","30,407",3
UT,2020/06/30,1,"5,272","2,920",,,,,,"2,920","5,178",1
WY,2021/07/09,1,"1,752",842,5,0,17,49,0,842,"1,752",0
AL,2020/02/10,1,6,,,,,,,,,
KS,2021/05/27,1,"9,041","5,381",29,1,38,136,1,"5,381","9,041",0
HI,2020/10/12,1,"1,740","1,813",9,0,22,120,0,"1,225","1,740",3
FL,2021/06/14,1,"53,910","40,910",221,6,428,"1,618",19,"40,910","53,910",13
MS,2021/05/23,1,"8,674","5,247",28,0,65,166,1,"5,247","8,674",6
MT,2020/02/23,1,36,13,,,,,,13,36,0
WA,2021/05/29,1,"13,372","9,733",35,0,147,436,2,"9,733","13,372",7
NC,2021/09/18,1,"23,897","18,833",293,8,917,"3,269",42,"18,833","23,897",50
NH,2021/12/11,1,"3,025","2,381",57,0,103,454,0,"2,381","3,025",2
OR,2020/05/29,1,"5,918","2,744",,,,,,"2,744","4,575",0
MN,2020/04/28,1,"12,511","5,620",,,,,,"5,620","12,182",4
ND,2021/09/14,1,"1,994","1,557",28,0,53,185,0,"1,557","1,994",0
ME,2020/12/13,1,"3,303","2,163",24,0,53,193,1,"2,163","3,303",3
DE,2021/03/28,1,"3,280","2,324",18,2,16,126,4,"2,324","3,280",0
AL,2020/02/03,1,6,,,,,,,,,
TX,2020/09/25,1,"65,280","46,872",402,7,"1,058","3,235",56,"46,872","65,280",45
FL,2020/03/22,1,358,144,,,,,,144,358,0
MT,2021/05/15,1,"3,204","2,047",12,0,11,60,0,"2,047","3,204",1
CO,2020/09/07,1,"10,968","6,652",12,1,65,149,4,"6,631","10,968",1
WY,2021/04/30,1,"1,732",838,5,0,7,29,0,838,"1,732",0
VI,2021/08/24,1,168,103,1,0,7,18,0,103,168,1
GA,2021/01/06,1,"23,108","19,427",864,16,"1,308","5,645",32,"19,427","23,108",97
MS,2021/02/26,1,"8,696","5,893",48,2,112,427,2,"5,893","8,696",11
VT,2021/11/04,1,"1,236",897,9,0,20,54,1,897,"1,236",0
PR,2021/09/21,1,"9,311","5,405",3,0,57,215,0,"5,405","9,311",6
OH,2021/05/01,1,"32,441","22,976",146,5,316,"1,123",34,"22,976","32,441",7
MT,2020/08/13,1,"2,564","1,705",16,1,20,59,0,"1,691","2,390",1
HI,2021/07/22,1,"2,643","1,913",10,0,20,72,1,"1,913","2,643",0
TX,2021/01/31,1,"70,075","50,101","1,241",18,"3,170","11,170",132,"50,101","70,075",178
CT,2020/04/24,1,"10,281","6,273",,,,,,"5,721","10,190",47
ID,2021/07/31,1,"3,780","2,314",26,0,60,168,3,"2,314","3,780",1
IL,2021/03/18,1,"32,238","22,349",153,0,196,934,10,"22,349","32,238",13
WY,2021/10/28,1,"1,721",989,26,1,57,211,1,989,"1,721",1
GA,2021/10/27,1,"23,252","18,304",191,10,423,"1,330",32,"18,304","23,252",26
NC,2020/05/13,1,"22,411","17,415",,,,,,"17,396","21,105",4
NY,2020/10/13,1,"46,289","33,103",152,4,209,"1,030",21,"32,825","46,289",11
MA,2020/11/09,1,"19,674","13,122",72,0,149,477,2,"13,122","19,674",6
VA,2020/03/24,1,115,,,,,,,,,
CA,2020/07/25,1,"61,146","43,666",835,8,"1,990","6,974",173,"43,666","60,696",90
WY,2021/04/01,1,"1,733",723,9,0,5,22,0,723,"1,733",0
MD,2021/07/29,1,"11,462","9,747",35,0,51,219,4,"9,747","11,462",3
OR,2021/09/11,1,"7,200","5,519",136,3,247,"1,107",10,"5,519","7,200",20
NE,2021/07/02,1,"4,352","2,882",10,0,15,43,1,"2,882","4,351",0
PR,2021/02/24,1,"9,726","5,719",13,0,35,144,3,"5,719","9,726",59
MT,2020/04/22,1,"2,745","1,107",,,,,,945,"2,517",0
KY,2021/11/14,1,"11,732","8,556",95,1,182,633,9,"8,556","11,732",6
NH,2021/06/10,1,"3,135","2,286",1,1,2,23,1,"2,286","3,135",1
RI,2020/09/22,1,"2,285","2,005",9,0,10,87,0,"2,005","2,285",3
MD,2020/07/25,1,"9,800","7,375",52,4,166,602,5,"7,300","9,800",5
IA,2021/02/18,1,"8,059","5,009",45,0,60,236,5,"5,009","8,059",5
VT,2020/08/08,1,572,359,0,0,0,0,0,359,572,0
AR,2020/05/23,1,"8,505","4,548",,,,,,"4,548","8,225",1
SC,2021/09/06,1,"10,686","8,635",337,10,588,"2,492",42,"8,635","10,686",42
CO,2020/11/23,1,"11,032","7,241",240,2,428,"1,549",14,"7,241","11,032",12
VA,2022/01/18,1,"17,315","13,297",416,25,628,"3,632",93,"13,297","17,315",39
WY,2021/12/11,1,"1,716",851,9,0,30,108,0,851,"1,716",1
VT,2020/05/25,1,"1,228",640,,,,,,640,"1,185",0
MA,2020/05/28,1,"16,396","11,859",,,,,,"11,859","16,281",33
MT,2020/12/22,1,"2,935","1,870",45,2,49,251,2,"1,870","2,935",9
NM,2021/07/27,1,"4,157","2,958",24,0,59,137,3,"2,958","4,157",0
MS,2021/04/10,1,"8,651","5,323",21,0,61,183,3,"5,323","8,651",3
DE,2020/07/16,1,"2,610","1,858",1,0,7,98,2,"1,768","2,575",0
OH,2021/05/26,1,"32,537","24,127",137,9,210,801,22,"24,127","32,537",20
IL,2022/02/01,1,"28,542","21,029",440,21,625,"3,453",73,"21,029","28,542",17
NV,2020/08/08,1,"8,250","6,022",72,0,264,906,3,"6,022","8,250",14
LA,2021/01/03,1,"14,058","9,235",257,1,452,"2,698",7,"9,235","14,058",21
CT,2020/07/17,1,"6,880","4,949",6,0,10,40,21,"4,949","6,791",0
MA,2021/07/06,1,"16,821","13,288",15,0,23,58,2,"13,288","16,821",1
AS,2022/02/08,1,150,69,0,0,0,0,0,69,150,
GA,2020/09/11,1,"18,708","15,232",726,14,551,"1,574",50,"14,982","18,532",18
MO,2021/01/20,1,"17,740","14,301",192,3,530,"1,912",33,"14,301","17,740",39
VT,2020/12/06,1,"1,285",691,3,0,4,22,0,691,"1,285",0
IN,2021/03/12,1,"19,169","12,079",63,5,100,372,6,"12,079","19,169",7
WI,2020/03/18,1,380,162,,,,,,162,329,0
KY,2020/06/21,1,"10,916","6,583",,,,,,"6,583","10,702",20
DE,2020/11/26,1,"3,211","2,205",32,8,31,224,4,"2,205","3,211",1
WA,2021/04/23,1,"13,569","10,219",71,0,153,602,0,"10,219","13,569",35
TX,2021/06/03,1,"69,259","49,784",247,8,540,"1,554",34,"49,784","69,259",19
VT,2021/08/17,1,"1,263",948,6,0,10,25,0,948,"1,263",0
SC,2021/06/22,1,"9,242","7,213",10,2,34,110,3,"7,213","9,242",2
GA,2021/10/04,1,"20,955","16,506",263,8,979,"2,844",50,"16,506","20,955",57
IN,2021/10/08,1,"19,337","13,363",181,5,505,"1,531",10,"13,363","19,337",21
NJ,2021/02/02,1,"21,397","15,190",285,3,490,"2,855",8,"15,190","21,397",43
WV,2020/12/17,1,"6,265","4,797",66,0,199,791,3,"4,797","6,265",12
WA,2021/01/31,1,"13,525","9,557",66,2,187,725,2,"9,557","13,525",7
PA,2022/01/08,1,"31,285","26,400",881,53,"1,096","6,805",203,"26,400","31,285",68
AK,2020/09/05,1,"1,166",835,7,0,13,38,0,505,"1,166",0
MA,2021/10/03,1,"18,203","15,521",49,2,163,423,6,"15,521","18,203",10
NV,2020/05/13,1,"5,157","3,641",,,,84,,"3,641","4,995",6
AL,2021/05/04,1,"14,686","10,818",56,2,139,359,8,"10,818","14,686",6
CO,2021/05/30,1,"11,700","7,501",60,0,183,470,1,"7,501","11,700",4
GA,2020/11/10,1,"21,076","16,424",348,5,469,"1,649",17,"16,424","21,076",24
NM,2021/10/10,1,"4,344","3,138",36,0,110,339,3,"3,138","4,344",4
DC,2021/01/08,1,"3,672","2,968",47,5,65,316,11,"2,968","3,672",4
AZ,2021/03/26,1,"17,071","11,753",71,2,83,391,6,"11,753","17,071",62
HI,2021/09/30,1,"2,623","1,987",17,1,48,205,5,"1,987","2,623",4
AL,2020/10/10,1,"15,210","10,764",100,1,270,805,17,"10,764","15,210",16
FL,2021/05/28,1,"59,084","45,919",299,14,565,"2,185",37,"45,919","59,084",27
SC,2020/10/24,1,"10,252","8,117",63,1,180,594,3,"8,117","10,252",7
ME,2021/02/10,1,"3,309","2,311",17,0,33,124,0,"2,311","3,309",1
PA,2020/10/09,1,"29,917","25,218",99,2,195,781,15,"23,250","29,917",12
HI,2020/10/08,1,"1,719","1,844",17,0,20,116,1,"1,218","1,719",5
GA,2021/04/17,1,"22,788","16,980",212,7,305,"1,071",21,"16,980","22,788",10
LA,2020/04/15,1,"9,452","5,291",37,,,567,,"5,291","8,981",63
OH,2021/12/02,1,"31,457","25,576",562,14,"1,007","3,963",59,"25,576","31,457",59
DC,2020/06/30,1,"3,049","2,175",,,,,,"2,175","2,924",0
AZ,2020/05/11,1,"10,670","5,787",13,,,66,,"5,209","10,351",10
SC,2020/08/15,1,"10,218","7,976",91,0,257,983,13,"7,976","10,218",14
RI,2021/11/07,1,"2,418","2,025",6,1,12,78,0,"2,025","2,418",2
NV,2021/09/15,1,"8,547","6,924",100,1,240,"1,020",7,"6,924","8,547",17
CA,2020/08/01,1,"62,613","44,592",714,13,"1,893","6,558",96,"44,471","62,613",97
NC,2021/08/22,1,"23,826","18,361",344,5,841,"3,070",37,"18,361","23,826",39
MI,2021/09/03,1,"23,130","18,386",151,2,329,"1,156",18,"18,386","23,130",16
MD,2020/04/30,1,"7,869","6,430",,,,,,"5,861","7,694",38
AZ,2020/11/25,1,"16,481","12,275",302,1,460,"1,902",17,"12,275","16,481",30
MO,2020/08/03,1,"18,492","11,106",73,0,255,634,6,"10,744","18,492",3
VA,2021/08/20,1,"18,247","13,587",169,6,326,"1,181",9,"13,587","18,247",12
IA,2020/08/24,1,"8,306","4,903",43,0,82,291,3,"4,903","8,306",9
AK,2021/12/01,1,"1,622","1,229",9,0,22,69,3,"1,229","1,622",2
DC,2020/04/27,1,"2,057","1,317",,,,,,"1,292","1,920",4
MT,2020/02/24,1,36,13,,,,,,13,36,0
OK,2020/11/25,1,"10,516","7,740",360,5,436,"1,546",31,"7,740","10,516",33
MN,2020/07/27,1,"11,103","7,126",16,1,56,186,3,"7,100","11,058",1
WY,2020/04/25,1,"1,600",496,,,,,,351,"1,002",0
KS,2022/01/29,1,"8,835","5,141",163,4,240,"1,074",19,"5,141","8,835",7
RI,2020/12/27,1,"2,516","2,247",25,1,54,420,5,"2,247","2,516",8
GA,2021/04/28,1,"23,225","18,027",209,8,328,"1,105",19,"18,027","23,225",18
OR,2020/03/16,1,80,69,,,,,,69,80,0
NY,2020/11/28,1,"51,874","34,938",620,5,664,"3,503",25,"34,938","51,874",57
AZ,2020/05/15,1,"11,062","7,731",8,,,55,,"7,290","10,737",20
MA,2020/05/05,1,"15,846","12,489",,,,,,"11,231","15,737",121
ND,2021/05/13,1,"2,443","1,740",8,0,21,57,3,"1,740","2,443",1
NE,2021/09/29,1,"4,262","3,368",34,1,141,414,9,"3,368","4,259",3
GA,2021/06/09,1,"22,729","17,573",111,6,124,462,12,"17,573","22,729",7
VT,2020/04/07,1,"1,003",169,,,,,,169,400,0
MT,2021/09/15,1,"3,016","2,255",79,1,102,372,2,"2,255","3,016",4
WA,2020/08/15,1,"9,773","8,723",44,0,105,377,9,"5,887","9,773",5
MN,2021/03/25,1,"10,008","7,661",64,1,87,352,9,"7,661","10,008",1
RI,2020/05/03,1,"2,590","1,659",0,0,0,0,0,"1,659","2,507",3
AZ,2021/10/04,1,"15,685","11,255",146,3,419,"1,513",24,"11,255","15,685",140
NJ,2020/10/22,1,"21,990","16,556",98,0,139,667,5,"16,556","21,990",11
FL,2021/07/12,1,"54,292","42,513",513,8,699,"3,037",31,"42,513","54,292",23
ME,2020/03/28,1,688,387,,,,,,387,688,1
VI,2021/07/27,1,168,105,0,0,7,18,1,105,168,1
IN,2021/05/14,1,"19,116","12,662",81,5,182,611,8,"12,662","19,116",2
PA,2021/01/17,1,"33,206","26,042",475,6,"1,021","4,836",37,"26,042","33,206",102
AR,2020/07/14,1,"6,166","4,209",,,,,,"4,209","5,858",3
ND,2020/10/03,1,"2,301","1,562",25,0,22,180,2,"1,562","2,301",0
NM,2021/04/30,1,"3,767","2,566",18,0,43,119,0,"2,566","3,767",0
NJ,2021/10/08,1,"24,620","17,618",94,0,202,902,8,"17,618","24,620",7
NM,2021/11/26,1,"4,317","3,221",59,2,200,653,11,"3,221","4,317",6
NH,2021/07/12,1,"2,908","1,995",2,0,4,14,0,"1,995","2,908",0
RI,2020/04/09,1,"1,384",887,,,,,,887,"1,384",1
PA,2020/09/14,1,"27,860","22,928",52,1,144,533,50,"20,061","27,860",5
KY,2021/08/19,1,"11,938","9,241",443,5,471,"1,634",20,"9,241","11,938",25
OR,2021/10/02,1,"7,064","5,359",82,1,198,791,5,"5,359","7,064",21
SD,2020/04/27,1,596,381,,,,,,118,527,0
MA,2021/05/10,1,"16,956","13,342",44,0,115,324,3,"13,342","16,956",6
MN,2020/04/17,1,"12,581","5,779",,,,,,"5,779","12,281",7
WV,2020/11/07,1,"6,294","4,492",48,0,88,349,1,"4,492","6,294",4
NH,2020/10/16,1,"3,248","2,232",5,0,5,17,0,"2,232","3,248",1
WY,2021/02/27,1,"1,736",729,4,0,8,26,1,729,"1,736",0
NM,2020/07/13,1,"2,038","1,651",,,,,,"1,172","1,918",2
DC,2020/06/12,1,"3,207","2,222",,,,,,"2,222","3,070",5
NV,2020/07/09,1,"5,136","4,002",,,,178,,"4,002","4,964",10
KY,2020/11/12,1,"14,087","10,220",362,2,322,"1,233",19,"10,220","14,087",20
GA,2020/10/17,1,"20,923","15,608",233,1,382,"1,342",45,"15,476","20,826",18
VI,2022/01/16,1,168,100,3,0,3,19,0,100,168,
WA,2020/12/13,1,"13,894","9,324",92,0,248,"1,009",11,"9,324","13,894",7
RI,2020/08/20,1,"1,862","1,994",2,1,9,77,1,"1,994","1,862",1
TX,2020/06/08,1,"53,675","30,835",,,,,,"30,337","44,903",16
KY,2021/02/10,1,"14,783","9,028",279,1,271,"1,099",8,"9,028","14,783",18
WA,2021/03/13,1,"13,774","9,554",45,0,97,310,1,"9,554","13,774",1
TX,2020/02/09,1,28,23,,,,,,23,28,
NJ,2020/10/05,1,"21,700","15,515",55,0,82,348,4,"15,515","21,700",12
NC,2022/01/26,1,"23,756","19,412",677,24,857,"5,045",130,"19,412","23,756",71
NH,2020/10/05,1,"3,249","2,138",0,0,8,21,0,"2,138","3,249",1
OR,2020/04/22,1,"4,207","1,977",,,,,,"1,615","4,063",1
MN,2021/08/05,1,"10,228","7,674",32,1,80,263,7,"7,674","10,228",2
FL,2021/07/18,1,"59,002","45,675",765,17,959,"4,349",54,"45,675","59,002",28
NC,2020/12/07,1,"22,955","17,333",272,2,587,"2,225",13,"17,333","22,955",22
AR,2020/11/22,1,"9,350","6,254",126,4,287,875,10,"6,254","9,350",16
TX,2020/06/05,1,"55,154","33,101",,,,,,"32,631","47,081",11
KS,2021/03/10,1,"8,840","5,231",25,1,44,198,0,"5,231","8,840",3
WI,2021/11/14,1,"12,778","9,050",183,10,300,"1,158",10,"9,050","12,778",15
HI,2021/04/22,1,"2,661","1,913",5,1,7,40,1,"1,913","2,661",0
IN,2021/02/18,1,"18,628","11,611",117,5,178,694,13,"11,611","18,628",9
CO,2021/01/30,1,"11,801","7,615",93,5,176,580,18,"7,615","11,801",5
OR,2020/07/09,1,"6,231","3,988",,,,,,"3,988","6,033",7
ND,2021/05/12,1,"2,444","1,722",9,0,19,60,2,"1,722","2,444",1
MD,2020/12/03,1,"11,863","9,624",254,0,349,"1,571",13,"9,624","11,863",31
PR,2020/10/28,1,"9,314","5,421",221,0,53,311,3,"5,421","9,314",30
TN,2021/07/01,1,"20,113","13,499",36,2,69,218,7,"13,499","19,552",3
DE,2020/06/29,1,"2,649","1,700",,,,,,"1,700","2,614",0
SD,2020/09/06,1,"2,386","1,384",14,0,21,60,28,"1,365","2,386",0
NY,2020/04/21,1,"34,521","25,214",,,,,,"24,188","33,715",320
MS,2020/08/22,1,"7,773","5,047",79,0,248,699,0,"4,991","7,773",16
NV,2020/07/07,1,"5,175","3,922",,,,141,,"3,922","4,999",3
CA,2021/12/05,1,"64,275","49,741",345,8,858,"3,205",51,"49,741","64,275",51
VT,2021/11/10,1,"1,235",954,9,0,18,55,0,954,"1,235",1
NV,2020/07/26,1,"8,546","6,169",0,1,293,908,8,"6,169","8,546",8
ME,2021/05/18,1,"3,044","2,120",14,0,41,113,0,"2,120","3,044",2
WY,2022/01/04,1,"1,598",699,15,1,17,63,1,699,"1,598",1
WA,2020/09/30,1,"10,329","9,350",17,0,68,257,1,"6,475","10,329",2
TX,2021/03/19,1,"69,977","48,765",408,14,"1,074","3,592",65,"48,765","69,977",55
NJ,2020/06/17,1,"17,014","11,514",,,,,,"11,514","16,506",4
IA,2020/07/17,1,"4,669","2,596",18,2,52,164,16,"2,494","4,669",0
RI,2021/04/19,1,"2,520","2,288",11,0,29,154,2,"2,288","2,520",2
MS,2020/04/03,1,"3,597","1,727",,,,,,"1,727","3,409",2
LA,2021/02/08,1,"14,060","9,252",102,2,298,"1,120",8,"9,252","14,060",10
MA,2021/12/25,1,"17,266","13,634",191,5,349,"1,230",17,"13,634","17,266",16
UT,2020/12/29,1,"5,600","3,063",78,3,146,481,1,"3,063","5,600",5
PR,2020/08/11,1,"9,139","5,129",25,3,47,261,9,"5,129","9,139",10
MD,2022/01/01,1,"11,670","9,572",407,14,430,"2,566",47,"9,572","11,670",31
PR,2020/09/27,1,"9,706","5,454",20,1,55,211,3,"5,454","9,706",6
IN,2021/11/06,1,"18,675","12,140",136,4,336,"1,034",13,"12,140","18,675",16
NE,2021/08/14,1,"4,640","3,135",26,1,80,257,2,"3,135","4,640",1
GA,2021/01/28,1,"23,635","19,371",582,6,"1,201","4,873",39,"19,371","23,635",89
ME,2020/10/28,1,"3,278","2,277",6,0,8,19,0,"2,277","3,278",0
CA,2020/11/15,1,"66,059","46,091",567,4,"1,065","3,921",43,"46,091","66,059",43
MD,2020/10/13,1,"11,036","8,971",54,1,125,430,5,"8,971","11,036",9
WA,2020/08/18,1,"10,002","6,264",25,0,75,253,2,"6,096","10,002",4
NC,2020/01/20,1,72,65,,,,,,65,72,0
ID,2020/09/14,1,"3,915","1,958",14,0,55,125,1,"1,793","3,915",3
LA,2021/08/22,1,"13,020","10,015",288,9,919,"2,839",80,"10,015","13,020",34
MS,2020/02/18,1,16,12,,,,,,12,16,0
VT,2020/05/17,1,"1,266",655,,,,,,655,"1,213",0
ND,2021/02/15,1,"2,071","1,334",7,2,14,80,3,"1,334","2,071",0
NV,2020/10/14,1,"8,588","5,956",55,0,134,431,0,"5,956","8,588",6
ME,2020/09/30,1,"3,150","2,245",3,0,7,13,0,"2,245","3,150",0
WI,2020/10/15,1,"12,921","8,677",288,6,278,"1,122",7,"8,677","12,921",59
TN,2021/01/06,1,"20,475","12,819",415,5,827,"3,367",32,"12,819","19,715",74
PA,2022/01/27,1,"31,535","27,097",598,20,930,"5,368",132,"27,097","31,535",85
MI,2021/11/02,1,"22,063","18,262",283,18,582,"2,161",42,"18,262","22,063",34
NM,2021/10/29,1,"4,377","3,337",66,1,144,455,5,"3,337","4,377",6
IN,2020/08/29,1,"16,389","9,884",105,7,162,489,8,"9,884","16,389",3
WI,2021/12/19,1,"12,945","9,152",271,8,437,"1,714",14,"9,152","12,945",20
MT,2020/08/12,1,"2,290","1,784",19,0,22,62,0,"1,638","2,164",0
DC,2021/05/02,1,"3,449","2,531",11,3,36,122,4,"2,531","3,449",0
WA,2021/02/19,1,"13,964","9,802",52,1,101,496,2,"9,802","13,964",5
