state,date,critical_staffing_shortage_today_yes,inpatient_beds,inpatient_beds_used,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,staffed_icu_adult_patients_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,deaths_covid
WA,2021/08/26,1,"13,482","10,332",153,5,393,"1,479",20,"10,332","13,482",9
PR,2022/01/30,1,"7,022","4,232",59,4,78,457,23,"4,149","7,022",2
WY,2020/08/11,1,"1,747",592,7,0,7,19,0,592,"1,747",0
MN,2020/05/03,1,"12,663","5,433",,,,,,"5,433","12,335",3
AZ,2021/05/16,1,"16,906","11,288",46,0,143,406,3,"11,288","16,906",4
TN,2021/11/04,1,"20,279","14,389",79,1,258,829,10,"14,389","20,279",15
VI,2021/03/04,1,168,100,0,0,4,6,0,100,168,0
DE,2020/05/13,1,"2,813","1,804",,,,,,"1,804","2,777",4
MT,2021/03/31,1,"3,186","1,965",9,0,10,46,1,"1,965","3,186",1
VT,2021/05/19,1,"1,301",820,4,0,3,11,0,820,"1,301",0
OK,2021/03/16,1,"10,251","6,749",54,1,94,321,28,"6,749","10,251",5
NM,2020/05/22,1,"2,153","1,218",,,,,,"1,218","2,010",5
OH,2021/03/28,1,"32,188","21,471",131,10,238,923,27,"21,471","32,188",9
DE,2020/12/21,1,"2,646","1,791",55,0,60,459,7,"1,791","2,646",9
MA,2021/12/23,1,"17,717","15,106",160,6,349,"1,261",12,"15,106","17,717",15
VI,2021/01/28,1,168,94,2,0,0,5,0,94,168,0
HI,2021/04/04,1,"2,648","1,858",9,0,8,42,0,"1,858","2,648",0
NY,2021/11/11,1,"49,270","40,816",271,4,383,"1,865",14,"40,816","49,270",30
MO,2021/09/20,1,"15,555","12,110",144,6,484,"1,493",50,"12,110","15,555",22
AL,2020/12/01,1,"15,215","11,599",304,4,487,"1,780",20,"11,599","15,215",23
MS,2021/10/25,1,"8,242","5,202",21,0,101,277,9,"5,202","8,242",2
NY,2021/02/05,1,"53,743","40,724",882,13,"1,498","8,027",59,"40,724","53,743",147
WY,2020/08/16,1,"1,726",657,3,0,8,16,0,657,"1,726",0
GA,2021/03/26,1,"23,124","17,706",223,4,369,"1,187",19,"17,706","23,124",11
FL,2020/03/20,1,358,159,,,,,,159,358,0
KY,2020/10/04,1,"13,389","8,629",108,2,155,452,2,"8,561","13,389",5
WA,2021/08/04,1,"13,555","10,223",82,0,203,650,5,"10,223","13,555",11
IL,2022/01/02,1,"31,081","21,989",751,24,"1,031","5,730",160,"21,989","31,081",74
DC,2021/06/06,1,"3,450","2,553",4,0,16,56,4,"2,553","3,450",1
UT,2021/03/13,1,"6,195","3,607",27,4,54,167,1,"3,607","6,195",0
AR,2021/12/29,1,"9,300","6,863",122,2,193,584,6,"6,863","9,300",6
TN,2021/01/07,1,"20,484","12,960",359,4,818,"3,283",30,"12,960","19,725",68
PR,2021/07/02,1,"9,243","5,873",2,1,8,17,2,"5,873","9,243",2
RI,2022/02/01,1,"2,296","1,943",28,2,30,252,7,"1,943","2,296",0
WA,2020/09/07,1,"10,248","8,307",30,0,75,261,1,"5,967","10,248",4
MD,2021/08/24,1,"10,314","8,651",109,1,165,692,8,"8,651","10,314",8
MD,2020/11/21,1,"11,606","9,212",166,4,270,"1,213",14,"9,212","11,606",15
LA,2020/09/21,1,"13,832","8,970",69,0,195,"1,023",2,"8,970","13,832",7
NY,2021/11/02,1,"45,129","36,500",249,5,450,"1,870",27,"36,500","45,129",37
MN,2021/04/09,1,"10,248","8,122",106,1,136,605,9,"8,122","10,248",3
OH,2021/06/14,1,"29,562","20,369",58,2,106,408,15,"20,369","29,562",4
NE,2021/08/16,1,"3,959","2,680",31,0,82,275,3,"2,680","3,959",3
ND,2020/12/14,1,"2,186","1,513",27,0,46,293,2,"1,513","2,186",4
MO,2021/05/23,1,"16,680","12,970",38,0,140,434,13,"12,970","16,680",8
VI,2021/06/10,1,168,95,2,0,3,7,0,95,168,0
VA,2021/09/01,1,"18,342","14,085",218,1,408,"1,602",29,"14,085","18,342",16
CO,2020/07/06,1,"9,890","5,377",,,,,,"5,260","9,683",0
MN,2020/02/22,1,46,,,,,,,,,0
NY,2020/08/31,1,"40,436","28,660",62,0,85,439,14,"27,121","40,277",8
DC,2021/12/14,1,"3,487","2,766",19,2,23,111,12,"2,766","3,487",0
NV,2022/02/03,1,"8,403","6,932",130,8,280,"1,446",34,"6,932","8,403",0
MO,2021/04/19,1,"15,142","11,264",57,3,125,472,15,"11,264","15,142",3
MA,2021/03/10,1,"19,336","15,758",101,0,172,522,8,"15,758","19,336",13
WA,2021/07/03,1,"13,331","9,914",41,0,90,286,3,"9,914","13,331",3
MT,2020/09/23,1,"2,604","2,057",27,1,21,118,1,"1,889","2,604",2
VI,2021/01/07,1,168,98,0,0,0,0,0,98,168,0
CA,2021/11/04,1,"65,136","51,844",423,8,956,"3,886",55,"51,844","65,136",61
VT,2021/05/21,1,"1,300",840,1,0,4,10,0,840,"1,300",0
TN,2022/01/29,1,"20,213","14,631",447,17,658,"3,370",113,"14,631","20,213",58
NM,2021/04/12,1,"4,276","2,930",15,0,28,94,10,"2,930","4,276",3
TX,2021/09/03,1,"69,217","55,589","1,631",72,"3,880","13,640",292,"55,589","69,217",205
MT,2021/03/05,1,"3,197","2,041",19,1,11,57,0,"2,041","3,197",1
OK,2021/07/04,1,"10,595","6,801",43,0,66,190,21,"6,801","10,595",0
MN,2021/02/11,1,"9,983","7,396",50,2,72,324,7,"7,396","9,983",7
MS,2020/11/30,1,"8,341","5,143",137,3,225,943,7,"5,143","8,341",18
WI,2020/10/18,1,"12,916","7,951",269,1,309,"1,171",7,"7,951","12,916",68
MN,2020/12/10,1,"10,364","7,928",189,8,356,"1,514",29,"7,928","10,364",35
WI,2020/06/10,1,"12,401","8,346",,,,,,"8,245","12,168",1
NV,2020/09/24,1,"8,554","6,082",47,1,127,389,2,"6,005","8,554",5
MO,2020/06/21,1,"20,939","10,953",,,,,,"10,953","20,116",5
HI,2020/12/20,1,"2,643","1,784",6,0,16,59,1,"1,784","2,643",0
CA,2020/06/10,1,"68,713","42,692",,,,84,,"42,692","67,683",76
CA,2021/01/05,1,"67,153","53,574","2,550",30,"4,708","21,890",166,"53,574","67,153",516
AL,2021/08/22,1,"14,794","11,541",330,12,825,"2,728",41,"11,541","14,794",51
NE,2021/12/23,1,"4,508","3,404",45,6,155,467,14,"3,404","4,508",12
FL,2021/11/09,1,"55,718","43,867",186,8,346,"1,245",23,"43,867","55,718",18
IA,2022/01/18,1,"7,337","5,263",154,9,185,957,31,"5,263","7,337",10
WV,2020/12/22,1,"6,286","4,608",97,0,182,785,5,"4,608","6,286",13
AZ,2021/12/06,1,"15,986","12,319",290,7,646,"2,579",37,"12,319","15,986",99
DE,2020/10/17,1,"3,081","2,382",15,2,26,126,2,"2,382","3,081",1
NE,2020/10/16,1,"5,545","3,900",36,0,109,322,1,"3,895","5,545",1
HI,2021/09/10,1,"2,611","2,021",38,0,81,399,6,"2,021","2,611",6
MN,2021/10/22,1,"10,168","8,248",109,5,229,904,15,"8,248","10,168",3
AL,2021/01/26,1,"15,085","11,799",303,4,684,"2,234",16,"11,799","15,085",53
PR,2020/04/25,1,"1,820","1,813",,,,,,638,"1,631",0
WV,2020/04/17,1,"6,136","3,058",,,,,,"3,058","5,924",2
CT,2020/09/15,1,"8,159","6,024",13,0,19,70,0,"6,024","8,159",1
ND,2021/12/27,1,"1,907","1,418",20,1,60,177,1,"1,418","1,907",3
LA,2021/12/04,1,"12,709","9,069",30,0,79,277,4,"9,069","12,709",1
NV,2021/09/17,1,"8,578","6,792",109,1,249,"1,004",6,"6,792","8,578",18
ME,2021/01/23,1,"3,229","2,231",15,0,63,185,1,"2,231","3,229",1
VI,2020/11/04,1,168,103,0,0,0,0,0,103,168,1
OK,2021/11/11,1,"10,491","7,696",108,1,151,448,16,"7,696","10,491",5
VI,2021/07/09,1,168,105,0,0,2,5,0,105,168,0
WV,2021/11/23,1,"6,035","4,682",49,1,153,533,3,"4,682","6,035",14
PR,2021/08/03,1,"9,213","5,418",18,0,32,155,10,"5,418","9,213",2
